////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: 0.69152 | diff: 17288 | msg.angular.z: 0.069152
error: 0.69152 | diff: 17288 | msg.angular.z: 0.069152
error: 0.69152 | diff: 17288 | msg.angular.z: 0.069152
error: 0.66388 | diff: 16597 | msg.angular.z: 0.066388
error: 0.66388 | diff: 16597 | msg.angular.z: 0.066388
error: 0.66388 | diff: 16597 | msg.angular.z: 0.066388
error: 0.66388 | diff: 16597 | msg.angular.z: 0.066388
error: 0.66388 | diff: 16597 | msg.angular.z: 0.066388
error: 0.66804 | diff: 16701 | msg.angular.z: 0.066804
error: 0.66804 | diff: 16701 | msg.angular.z: 0.066804
error: 0.66804 | diff: 16701 | msg.angular.z: 0.066804
error: 0.66804 | diff: 16701 | msg.angular.z: 0.066804
error: 0.66804 | diff: 16701 | msg.angular.z: 0.066804
error: 0.66996 | diff: 16749 | msg.angular.z: 0.066996
error: 0.66996 | diff: 16749 | msg.angular.z: 0.066996
error: 0.66996 | diff: 16749 | msg.angular.z: 0.066996
error: 0.66996 | diff: 16749 | msg.angular.z: 0.066996
error: 0.66996 | diff: 16749 | msg.angular.z: 0.066996
error: 0.66844 | diff: 16711 | msg.angular.z: 0.066844
error: 0.66844 | diff: 16711 | msg.angular.z: 0.066844
error: 0.66844 | diff: 16711 | msg.angular.z: 0.066844
error: 0.66844 | diff: 16711 | msg.angular.z: 0.066844
error: 0.66844 | diff: 16711 | msg.angular.z: 0.066844
error: 0.68772 | diff: 17193 | msg.angular.z: 0.068772
error: 0.68772 | diff: 17193 | msg.angular.z: 0.068772
error: 0.68772 | diff: 17193 | msg.angular.z: 0.068772
error: 0.68772 | diff: 17193 | msg.angular.z: 0.068772
error: 0.68772 | diff: 17193 | msg.angular.z: 0.068772
error: 0.66052 | diff: 16513 | msg.angular.z: 0.066052
error: 0.66052 | diff: 16513 | msg.angular.z: 0.066052
error: 0.66052 | diff: 16513 | msg.angular.z: 0.066052
error: 0.66052 | diff: 16513 | msg.angular.z: 0.066052
error: 0.66052 | diff: 16513 | msg.angular.z: 0.066052
error: 0.62896 | diff: 15724 | msg.angular.z: 0.062896
error: 0.62896 | diff: 15724 | msg.angular.z: 0.062896
error: 0.62896 | diff: 15724 | msg.angular.z: 0.062896
error: 0.62896 | diff: 15724 | msg.angular.z: 0.062896
error: 0.62896 | diff: 15724 | msg.angular.z: 0.062896
error: 0.58248 | diff: 14562 | msg.angular.z: 0.058248
error: 0.58248 | diff: 14562 | msg.angular.z: 0.058248
error: 0.58248 | diff: 14562 | msg.angular.z: 0.058248
error: 0.58248 | diff: 14562 | msg.angular.z: 0.058248
error: 0.58248 | diff: 14562 | msg.angular.z: 0.058248
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.52584 | diff: 13146 | msg.angular.z: 0.052584
error: 0.45432 | diff: 11358 | msg.angular.z: 0.045432
error: 0.45432 | diff: 11358 | msg.angular.z: 0.045432
error: 0.45432 | diff: 11358 | msg.angular.z: 0.045432
error: 0.45432 | diff: 11358 | msg.angular.z: 0.045432
error: 0.35676 | diff: 8919 | msg.angular.z: 0.035676
error: 0.35676 | diff: 8919 | msg.angular.z: 0.035676
error: 0.35676 | diff: 8919 | msg.angular.z: 0.035676
error: 0.35676 | diff: 8919 | msg.angular.z: 0.035676
error: 0.35676 | diff: 8919 | msg.angular.z: 0.035676
error: 0.32572 | diff: 8143 | msg.angular.z: 0.032572
error: 0.32572 | diff: 8143 | msg.angular.z: 0.032572
error: 0.32572 | diff: 8143 | msg.angular.z: 0.032572
error: 0.32572 | diff: 8143 | msg.angular.z: 0.032572
error: 0.32572 | diff: 8143 | msg.angular.z: 0.032572
error: 0.26936 | diff: 6734 | msg.angular.z: 0.026936
error: 0.26936 | diff: 6734 | msg.angular.z: 0.026936
error: 0.26936 | diff: 6734 | msg.angular.z: 0.026936
error: 0.26936 | diff: 6734 | msg.angular.z: 0.026936
error: 0.26936 | diff: 6734 | msg.angular.z: 0.026936
error: 0.20932 | diff: 5233 | msg.angular.z: 0.020932
error: 0.20932 | diff: 5233 | msg.angular.z: 0.020932
error: 0.20932 | diff: 5233 | msg.angular.z: 0.020932
error: 0.20932 | diff: 5233 | msg.angular.z: 0.020932
error: 0.20932 | diff: 5233 | msg.angular.z: 0.020932
error: 0.15084 | diff: 3771 | msg.angular.z: 0.015084
error: 0.15084 | diff: 3771 | msg.angular.z: 0.015084
error: 0.15084 | diff: 3771 | msg.angular.z: 0.015084
